No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
Small area,2024-05-08 06:09:50,121.597,23.9258,3.3,12.8,23.93N 121.60E, i.e. 7.6 km SSW of Hualien County(23.93N 121.60E, i.e. 7.6 km SSW of Hualien County)
Small area,2024-05-08 05:05:36,121.586,23.9227,2.6,10.6,23.92N 121.59E, i.e. 8.3 km SSW of Hualien County(23.92N 121.59E, i.e. 8.3 km SSW of Hualien County)
Small area,2024-05-08 04:21:10,121.619,23.922,3.1,12.4,23.92N 121.62E, i.e. 7.6 km S of Hualien County(23.92N 121.62E, i.e. 7.6 km S of Hualien County)
376   ,2024-05-08 04:19:58,121.593,23.9233,4.5,10.7,23.92N 121.59E, i.e. 8.0 km SSW of Hualien County(23.92N 121.59E, i.e. 8.0 km SSW of Hualien County)
375   ,2024-05-08 01:21:16,121.46,23.7655,4.3,10.5,23.77N 121.46E, i.e. 29.8 km SW of Hualien County(23.77N 121.46E, i.e. 29.8 km SW of Hualien County)
Small area,2024-05-07 23:07:17,121.866,24.2867,3.7,12.6,24.29N 121.87E, i.e. 41.2 km NE of Hualien County(24.29N 121.87E, i.e. 41.2 km NE of Hualien County)
374   ,2024-05-07 20:48:42,121.547,23.7727,4.8,21.3,23.77N 121.55E, i.e. 25.3 km SSW of Hualien County(23.77N 121.55E, i.e. 25.3 km SSW of Hualien County)
Small area,2024-05-07 19:56:39,121.587,23.902,3.2,10.6,23.90N 121.59E, i.e. 10.4 km SSW of Hualien County(23.90N 121.59E, i.e. 10.4 km SSW of Hualien County)
Small area,2024-05-07 09:01:10,121.769,24.0962,3.5,25.6,24.10N 121.77E, i.e. 19.1 km NE of Hualien County(24.10N 121.77E, i.e. 19.1 km NE of Hualien County)
Small area,2024-05-07 08:22:32,121.55,23.7692,4.1,21.6,23.77N 121.55E, i.e. 25.6 km SSW of Hualien County(23.77N 121.55E, i.e. 25.6 km SSW of Hualien County)
Small area,2024-05-07 04:43:39,121.477,23.9685,3.1,18.5,23.97N 121.48E, i.e. 14.7 km W of Hualien County(23.97N 121.48E, i.e. 14.7 km W of Hualien County)
Small area,2024-05-07 02:10:40,121.84,24.1852,4.2,7.9,24.19N 121.84E, i.e. 31.0 km NE of Hualien County(24.19N 121.84E, i.e. 31.0 km NE of Hualien County)
Small area,2024-05-06 21:18:24,121.583,23.7135,3.8,7.1,23.71N 121.58E, i.e. 31.0 km S of Hualien County(23.71N 121.58E, i.e. 31.0 km S of Hualien County)
Small area,2024-05-06 20:11:14,121.641,24.0215,3.6,28.8,24.02N 121.64E, i.e. 4.0 km NE of Hualien County(24.02N 121.64E, i.e. 4.0 km NE of Hualien County)
Small area,2024-05-06 19:44:17,121.557,23.7742,4.1,24,23.77N 121.56E, i.e. 24.9 km SSW of Hualien County(23.77N 121.56E, i.e. 24.9 km SSW of Hualien County)
Small area,2024-05-06 18:31:22,121.545,23.7712,3.7,22.2,23.77N 121.55E, i.e. 25.5 km SSW of Hualien County(23.77N 121.55E, i.e. 25.5 km SSW of Hualien County)
Small area,2024-05-06 18:03:05,121.566,23.7627,3.6,26.6,23.76N 121.57E, i.e. 25.9 km SSW of Hualien County(23.76N 121.57E, i.e. 25.9 km SSW of Hualien County)
Small area,2024-05-06 17:54:26,121.519,23.7572,4.3,23.8,23.76N 121.52E, i.e. 27.9 km SSW of Hualien County(23.76N 121.52E, i.e. 27.9 km SSW of Hualien County)
373   ,2024-05-06 17:52:46,121.541,23.7533,5.9,24.8,23.75N 121.54E, i.e. 27.5 km SSW of Hualien County(23.75N 121.54E, i.e. 27.5 km SSW of Hualien County)
Small area,2024-05-06 17:49:53,121.532,23.7815,4.1,27.8,23.78N 121.53E, i.e. 24.9 km SSW of Hualien County(23.78N 121.53E, i.e. 24.9 km SSW of Hualien County)
372   ,2024-05-06 17:45:32,121.562,23.7658,6,27.7,23.77N 121.56E, i.e. 25.6 km SSW of Hualien County(23.77N 121.56E, i.e. 25.6 km SSW of Hualien County)
Small area,2024-05-06 13:35:12,121.944,24.1388,4.1,26.4,24.14N 121.94E, i.e. 36.7 km ENE of Hualien County(24.14N 121.94E, i.e. 36.7 km ENE of Hualien County)
Small area,2024-05-06 13:15:52,121.756,24.2265,3.4,9.2,24.23N 121.76E, i.e. 29.5 km NNE of Hualien County(24.23N 121.76E, i.e. 29.5 km NNE of Hualien County)
Small area,2024-05-05 10:25:43,121.764,24.0895,3.8,25.4,24.09N 121.76E, i.e. 18.3 km NE of Hualien County(24.09N 121.76E, i.e. 18.3 km NE of Hualien County)
Small area,2024-05-05 09:23:26,121.552,23.6822,3.6,3.5,23.68N 121.55E, i.e. 34.9 km SSW of Hualien County(23.68N 121.55E, i.e. 34.9 km SSW of Hualien County)
Small area,2024-05-04 22:30:23,121.673,24.1542,3.9,27.3,24.15N 121.67E, i.e. 18.8 km NNE of Hualien County(24.15N 121.67E, i.e. 18.8 km NNE of Hualien County)
Small area,2024-05-04 21:56:09,121.56,23.7923,3.6,7,23.79N 121.56E, i.e. 22.8 km SSW of Hualien County(23.79N 121.56E, i.e. 22.8 km SSW of Hualien County)
Small area,2024-05-04 14:04:46,121.466,23.7775,3.8,9.7,23.78N 121.47E, i.e. 28.4 km SW of Hualien County(23.78N 121.47E, i.e. 28.4 km SW of Hualien County)
